time,close,open,volume,signal,beta,kappa,xi,ret,ret_etf
2021-10-06 15:00:00,62.27,62.22,19135.221,-4.8576005297147296,0.9242715446335265,9.737907547025245,0.00010178776576087641,0.0022533397714470382,0.008940988448937759
2021-10-06 16:00:00,62.36,62.21,31897.273,-4.555043090414254,0.9168807027178986,8.974200967114443,0.0001015551959560382,0.0014453187730849582,-0.0018371156266466793
2021-10-06 17:00:00,62.45,62.36,20384.835,-3.946912616309189,0.9092001279281282,8.587969224480776,0.00010129352561262529,0.001443232841565223,-0.005359190152248949
2021-10-06 18:00:00,62.05,62.46,22787.384,-3.5859009260183132,0.8879885513305951,10.331713168513481,0.00010031616714162679,-0.006405124099279513,-0.0010109147661500062
2021-10-06 19:00:00,61.59,62.14,18043.116,-4.050406779194359,0.8899251937696795,10.635471123992776,0.0001001083846994644,-0.007413376309427733,0.00981047982531602
2021-10-06 20:00:00,60.13,61.64,27715.046,-4.475393215124572,0.855745056443663,10.825508983903365,0.00010110330316410424,-0.02370514693943826,-0.002612194185022232
2021-10-06 21:00:00,60.43,60.06,23060.135,-5.361615713941535,0.8816277663240929,10.87366901887346,0.00010184637309306136,0.004989190088142248,0.0029457552565914646
2021-10-06 22:00:00,60.42,60.43,21192.081,-5.839140744141603,0.8830771110885942,12.655722406512721,0.0001001088361747449,-0.0001654807214959142,0.0013484106086338876
2021-10-06 23:00:00,60.11,60.46,22733.707,-5.867780383184529,0.8821838811295923,11.907184101927944,9.968650263556463e-05,-0.005130751406818956,0.002959065147823736
2021-10-07 00:00:00,59.05,60.11,23661.194,-5.784030517391878,0.8802136063564717,12.689703263175325,9.870843840971403e-05,-0.017634337048743953,-0.009424013380682328
2021-10-07 01:00:00,58.32,59.08,32588.372,-6.112055916884073,0.9016720778847613,12.153356345230792,9.889829760763419e-05,-0.012362404741744215,-0.0003274474278137651
2021-10-07 02:00:00,58.72,58.31,29726.411,-6.249290574468112,0.9072248890791734,12.070501765783394,9.912414196777034e-05,0.006858710562414272,0.005358028219337729
2021-10-07 03:00:00,58.61,58.72,19982.534,-6.512599873348568,0.9135912662487832,14.0884589147492,9.715724457767088e-05,-0.0018732970027247609,-0.004889312975020821
2021-10-07 04:00:00,59.67,58.61,18768.449,-6.738715558977774,0.8999895361387675,15.433540170222704,9.711311466569755e-05,0.018085650912813556,0.004784013500592543
2021-10-07 05:00:00,59.38,59.66,12846.929,-6.296681150331068,0.9171319192716287,18.010375748131732,9.901855488209888e-05,-0.004860063683593041,-0.005917961084504486
2021-10-07 06:00:00,59.29,59.31,12979.479,-6.100237247732565,0.9074102314557149,19.10288741935092,9.900610052451777e-05,-0.0015156618390030907,-0.0037247623927740836
2021-10-07 07:00:00,61.14,59.32,11247.186,-5.925941168032927,0.8982784591018992,21.29135317370419,9.857662703411799e-05,0.031202563670096106,0.004270429757589289
2021-10-07 08:00:00,61.69,61.33,11177.118,-4.679560824557405,0.9251711431247004,23.816767010429697,0.00010646569496277787,0.00899574746483478,-0.004425661462815533
2021-10-07 09:00:00,60.66,61.6,7938.121,-3.8078103859231205,0.8933748558524879,21.371034255423865,0.00011043360092110342,-0.01669638515156424,-0.00379415429646357
2021-10-07 10:00:00,60.09,60.71,10684.762,-4.633423786297845,0.9121516077922183,26.519891186312925,0.0001089360457810142,-0.009396636993076024,-0.007375583155794119
2021-10-07 11:00:00,60.62,60.03,8143.026,-4.655023668128722,0.9119317966822655,29.283655428885048,0.00010792694384101336,0.008820103178565297,0.007159155881090173
